"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 06, 2020","98.15","98.45","99.35","97.40","34.19K","0.41%"
"Feb 05, 2020","97.75","98.50","99.25","97.55","29.23K","-0.41%"
"Feb 04, 2020","98.15","98.95","101.75","97.60","29.52K","0.26%"
"Feb 03, 2020","97.90","102.00","102.30","97.80","31.24K","-4.63%"
"Jan 31, 2020","102.65","101.45","103.25","100.15","23.17K","1.13%"
"Jan 30, 2020","101.50","102.00","103.50","100.90","24.63K","-0.54%"
"Jan 29, 2020","102.05","106.00","106.20","101.90","32.68K","-2.86%"
"Jan 28, 2020","105.05","106.40","106.80","104.90","23.89K","-1.45%"
"Jan 27, 2020","106.60","110.00","110.00","106.15","25.50K","-3.22%"
"Jan 24, 2020","110.15","112.60","112.65","109.85","23.99K","-2.18%"
"Jan 23, 2020","112.60","111.15","113.70","110.65","22.90K","1.44%"
"Jan 22, 2020","111.00","111.50","112.20","110.10","18.58K","-0.05%"
"Jan 21, 2020","111.05","111.50","113.25","109.75","32.01K","-0.98%"
"Jan 17, 2020","112.15","113.05","113.40","111.35","17.84K","-0.71%"
"Jan 16, 2020","112.95","114.30","115.10","112.35","16.71K","-1.18%"
"Jan 15, 2020","114.30","115.30","116.35","114.05","24.68K","-0.52%"
"Jan 14, 2020","114.90","115.00","115.55","113.70","18.62K","0.31%"
"Jan 13, 2020","114.55","118.55","118.55","114.15","22.28K","-3.70%"
"Jan 10, 2020","118.95","117.75","119.15","116.50","21.17K","1.36%"
"Jan 09, 2020","117.35","118.70","120.35","117.00","24.64K","-1.51%"
"Jan 08, 2020","119.15","122.50","123.05","118.25","23.06K","-2.66%"
"Jan 07, 2020","122.40","122.60","123.40","119.85","21.31K","0.20%"
"Jan 06, 2020","122.15","126.25","126.55","121.55","24.43K","-3.32%"
"Jan 03, 2020","126.35","127.20","128.45","125.45","16.57K","-0.59%"
"Jan 02, 2020","127.10","129.55","130.95","126.50","21.51K","-2.00%"
"Dec 31, 2019","129.70","131.50","134.65","128.55","17.38K","-1.85%"
