,Closing Price,LR Predicted,Ridge Predicted,Decision Tree Predicted,Lasso Predicted,ElasticNet Predicted
1970,,124.09077028964585,124.09077372065458,123.85,123.66407470189735,123.66515632412583
1971,,118.98649199556918,118.98650841234199,118.6,118.82202839892715,118.82242272075624
1972,,78.88212076512205,78.88225186727655,79.35,78.61330320247825,78.61359443394501
1973,,132.8488536533389,132.84882764467915,134.0,132.801284429832,132.80048340580555
1974,,106.92312776844774,106.9231763834338,108.1,107.11361828938429,107.11301821073711
1975,,116.98752868828136,116.98755018080998,118.0,116.90202321913468,116.90214003827163
1976,,113.77982573055394,113.77985627323802,113.2,113.44171421257684,113.44172713145163
1977,,166.07877396799114,166.0786576097104,167.05,165.81249581046936,165.81382026915873
1978,,81.73198859549483,81.73211199899383,81.92,81.4686104561722,81.46911032621695
1979,,81.39399628444694,81.39411918171395,81.5,81.23384537350847,81.23370330912437
1980,,128.36449666530137,128.36448532922375,127.76,127.98892453029971,127.98888574527456
1981,,139.5274717673803,139.52743299313303,139.1,139.3460376512293,139.34805987569803
1982,,220.98788544720918,220.98760942001542,219.65,221.11742106170067,221.11774555331922
1983,,151.84281058777748,151.84273057343387,151.2,152.05941554548286,152.0588381246422
1984,,56.08762755210114,56.087823364333644,56.7,56.09120728376508,56.091283021746776
1985,,59.10900845619328,59.10919524833739,58.5,59.346306679866835,59.34625800524017
1986,,119.57834941854365,119.57836344142856,120.6,119.08652897315466,119.08655639605972
1987,,60.98876016944789,60.98894248628936,60.5,60.84486420750866,60.845158401600806
1988,,59.39908201270533,59.39926845777959,58.9,59.20786226071663,59.20795841285409
1989,,179.91811369379445,179.9179548375047,181.95,179.66107515777455,179.66112438490896
1990,,83.45600102660273,83.45611822757351,84.05,83.39360233311653,83.39357055526247
1991,,158.18570188694804,158.18560731487528,158.6,157.5088389387237,157.50972692198798
1992,,136.59641805699977,136.59638685582618,136.8,136.08686259413716,136.088462245164
1993,,248.65964797405087,248.65929768754583,249.8,247.61589268336817,247.61825908885166
1994,,139.23509992063487,139.23505811588555,139.1,138.71848147482302,138.71871854000918
1995,,104.65670406374397,104.65675875242746,104.5,104.8568935979545,104.85610810039857
1996,,132.96037542464092,132.96034842685043,134.08,133.08838722004376,133.08731609091825
1997,,94.34702330690126,94.3471102072945,94.25,94.215841302977,94.21619872708843
1998,,122.88997031364796,122.88997538760019,123.7,122.45518096517205,122.45545799651374
1999,,177.32978251537236,177.32963424827616,178.58,176.79409804847572,176.7955202534351
2000,,125.74957226337139,125.74956907616642,125.5,125.2573424856414,125.25757865657538
2001,,142.68361500270294,142.68356133969215,143.38,142.535325526662,142.53473876820345
2002,,96.82236105317672,96.82243452722619,96.15,98.03052700252928,98.02827528238973
2003,,149.62919875248394,149.6291304252082,149.47,149.05537258812268,149.05705346687816
2004,,57.34423387902544,57.344425122762964,57.15,57.33779733650383,57.337438192857704
2005,,125.22362791805095,125.22362716740177,125.2,124.8698721013798,124.87054714863534
2006,,161.9653900824124,161.96528624633507,160.13,162.1693154415864,162.17104898879498
2007,,153.23861593629852,153.23853654743584,153.22,152.64397907859097,152.64533344203676
